Question,Equation,Answer,Numbers
"There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students , how many does each student get ?",/ number1 number0,9.0,9.0 81.0
"Sally earns $ number0 an hour cleaning houses . If she works for number1 hours , how much money will she make ?",* number0 number1,150.0,12.5 12.0
A construction company bought number0 tons of gravel and number1 tons of sand . How many tons of material did the company buy in all ?,+ number0 number1,14.02,5.91 8.11
"Ned had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,1.0,9.0 21.0 29.0
Mary had number0 potatoes in the garden . The rabbits ate number1 of the potatoes . How many potatoes does Mary now have ?,- number0 number1,5.0,8.0 3.0
George has number0 boxes of blocks . Each box holds number1 blocks and there are number2 boxes in a case . How many blocks does George have ?,* number0 number1,12.0,2.0 6.0 5.0
Marlee has number0 guests coming to her Halloween party . Each table will hold number1 guests . How many tables will she need ?,/ number0 number1,4.0,12.0 3.0
"Jason went to the mall on Saturday to buy clothes . He spent $ number0 on shorts and $ number1 on a jacket . In total , how much money did Jason spend on clothing ?",+ number0 number1,19.02,14.28 4.74
"There are number0 students in the class and number1 apples . If the apples are divided equally among the students , how many does each student get ?",/ number1 number0,6.0,7.0 42.0
"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?",- + number0 number2 number1,36.0,5.0 3.0 34.0
There are number0 students making number1 stars each for the school wall . How many stars will they make all together ?,* number0 number1,372.0,124.0 3.0
"A lawyer bills her clients number0 dollars per hour of service . If a client 's case requires number1 hours to complete , use proportion to calculate how much the client will owe the lawyer in dollars .",* number0 number1,7800.0,200.0 39.0
Brad has number0 balloons . number1 balloons are red and the rest are green . How many green balloons does Brad have ?,- number0 number1,9.0,17.0 8.0
"Our watermelons have number0 seeds each . If we have number1 watermelons , how many seeds should there be when all seeds are taken out of the watermelons ?",* number0 number1,400.0,100.0 4.0
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",- + number0 number1 number2,31.0,37.0 45.0 51.0
There are number0 pencils and number1 crayons in the drawer . Joan placed number2 pencils in the drawer . How many pencils are now there in total ?,+ number0 number2,60,33.0 44.0 27.0
Mary is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour . How many cups of flour does she need to add ?,- number0 number2,5,7.0 3.0 2.0
"Lexie ’s younger brother helped pick up all the paper clips in Lexie ’s room . He was able to collect number0 paper clips . If he wants to distribute the paper clips in number1 boxes , how many paper clips will each box contain ?",/ number0 number1,9.0,81.0 9.0
Sam had number0 pennies and number1 nickels in his bank . His dad gave him number2 nickels and number3 quarters . How many nickels does he have now ?,+ number1 number2,63,49.0 24.0 39.0 31.0
"Isabel had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?",* number2 + number0 number1,30.0,2.0 4.0 5.0
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",* number0 + number1 number2,63.0,9.0 4.0 3.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number2 number1,29.0,33.0 18.0 14.0
"Diane is a beekeeper . Last year , she harvested number0 pounds of honey . This year , she bought some new hives and increased her honey harvest by number1 pounds . How many pounds of honey did Diane harvest this year ?",+ number0 number1,8564.0,2479.0 6085.0
"Zoe had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",- + number0 number2 number1,57.0,15.0 8.0 50.0
"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",+ number0 number1,8.0,4.0 4.0
A recipe calls for number0 cups of sugar . You find that you only have number1 cups of sugar left . What fraction of the recipe can you make ?,/ number1 number0,0.165,2.0 0.3333
"Ruby has number0 candies and number1 bananas . If she shares the candies among number2 friends , how many candies does each friend get ?",/ number0 number2,4.0,36.0 6.0 9.0
Christine wandered number0 miles at number1 miles per hour . How long did Christine wander ?,/ number0 number1,5.0,20.0 4.0
"Jacques earns number0 dollars per hour . For each hour over number1 hours he earns number2 dollars per hour . If he works number3 hours in a week , what pay should he receive ?",+ * number0 number1 * number2 - number3 number1,543.95,8.6 40.0 12.9 55.5
Marcus has number0 baseball cards . He has number1 more than Carter . How many baseball cards does Carter have ?,- number0 number1,152.0,210.0 58.0
Bridget weighs number0 pounds . Martha weighs number1 pounds . How much heavier is Bridget than Martha ?,- number0 number1,37.0,39.0 2.0
"For a birthday party Jerry bought number0 regular sodas and number1 diet sodas . If his fridge would only hold number2 on each shelf , how many shelves would he fill up ?",/ + number0 number1 number2,7.0,41.0 22.0 9.0
"A cell phone company has a total of number0 customers across the world . If number1 of its customers live in the United States , how many of its customers live in other countries ?",- number0 number1,6699.0,7422.0 723.0
The clown blew up number0 balloons . Then he blew up number1 more balloons . How many balloons does the clown have now ?,+ number0 number1,60.0,47.0 13.0
Jennifer has number0 cards . number1 are eaten by a hippopotamus . How many cards will Jennifer have ?,- number0 number1,11.0,72.0 61.0
Oscar 's bus ride to school is number0 of a mile and Charlie 's bus ride is number1 of a mile . How much longer is Oscar 's bus ride than Charlie 's ?,- number0 number1,0.5,0.75 0.25
"Bonnie 's science class recorded the rainfall each day . They recorded number0 of a centimeter of rain on Monday , number1 of a centimeter of rain on Tuesday , and number2 of a centimeter of rain on Wednesday . How many centimeters of rain did the class record in all ?",+ + number0 number1 number2,0.6666666666666666,0.16666666666666666 0.4166666666666667 0.08333333333333333
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number1,9.0,48.0 6.0 6.0
"The Montoya family spends number0 of their budget on groceries and another number1 going out to eat . Altogether , what fraction of their budget does the Montoya family spend on food ?",+ number0 number1,0.8,0.6 0.2
"Karen added number0 of a cup of walnuts to a batch of trail mix . Later , she added number1 of a cup of almonds . How many cups of nuts did Karen put in the trail mix in all ?",+ number0 number1,0.5,0.25 0.25
Lisa flew number0 miles at number1 miles per hour . How long did Lisa fly ?,/ number0 number1,8.0,256.0 32.0
Eve ran number0 mile and walked number1 mile . How much farther did Eve run than walk ?,- number0 number1,0.1,0.7 0.6
For the school bake sale Wendy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,- + number0 number1 number2,40.0,41.0 31.0 32.0
"Maria had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more , how many bottles would she have ?",- + number0 number2 number1,51.0,14.0 8.0 45.0
"Kendall is learning to drive , so this weekend she practiced driving number0 mile with her mother and another number1 mile with her father . How far did Kendall drive in all ?",+ number0 number1,0.6666666666666666,0.16666666666666666 0.5
"The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player . How tall is the shortest player , in inches ?",- number0 number1,68.25,77.75 9.5
Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,- number0 number1,18.0,40.0 22.0
Mike had number0 quarters and number1 nickels in his bank . His dad borrowed number2 nickels from Mike . How many nickels does he have now ?,- number1 number2,12,33.0 87.0 75.0
"For Halloween Emily received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day , how long would the candy last her ?",/ + number0 number1 number2,2.0,5.0 13.0 9.0
Sam found number0 seashells and Mary found number1 seashells on the beach . How many seashells did they find together ?,+ number0 number1,65,18.0 47.0
It took Carl number0 hours to ride to Ralph 's house at number1 miles per hour . How far is it between Carl 's house and Ralph 's house ?,* number0 number1,10.0,5.0 2.0
"Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",/ + number1 number2 number0,3.0,8.0 22.0 2.0
"Megan was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",* number2 + number0 number1,90.0,7.0 3.0 9.0
Lana 's favorite band was holding a concert where tickets were number0 dollars each . Lana bought number1 tickets for herself and her friends and number2 extra tickets in case anyone else wanted to go . How much did she spend ?,* number0 + number1 number2,60.0,6.0 8.0 2.0
Sandy grew number0 pumpkins . Mike grew number1 pumpkins . How many pumpkins did they grow in total ?,+ number0 number1,74,51.0 23.0
"For the school bake sale Chloe made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",- + number0 number2 number1,11.0,28.0 25.0 8.0
James ate number0 carrot sticks before dinner and number1 more after dinner . How many carrot sticks did he eat ?,+ number0 number1,37.0,22.0 15.0
"Luke was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?",/ + number0 number2 number0,4.0,3.0 3.0 9.0
"While making pastries , a bakery used number0 of a bag of wheat flour and number1 of a bag of white flour . How many bags of flour did the bakery use in all ?",+ number0 number1,0.3,0.2 0.1
"At the arcade Cody won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",- + number0 number2 number1,30.0,49.0 25.0 6.0
A restaurant served number0 pizzas during lunch and number1 during dinner today . How many pizzas were served today ?,+ number0 number1,15,9.0 6.0
"John had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 , how much money would he need to finish his collection ?",* number0 - number1 number0,10.0,5.0 7.0 5.0
Tim had number0 cents . He paid number1 cents for a candy bar . How much change will he get ?,- number0 number1,5.0,50.0 45.0
"Adam had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Adam have ?",- + number0 number2 number1,67.0,48.0 19.0 38.0
"Billy was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?",/ + number1 number2 number0,9.0,5.0 3.0 42.0
"Christina just transferred $ number0 out of her bank account . As a result , the account now has $ number1 in it . How much money was in the account before the transfer ?",+ number0 number1,27004.0,69.0 26935.0
"After eating at the restaurant , Sally , Sam , and Alyssa decided to divide the bill evenly . If each person paid number0 dollars , what was the total of the bill ?",* number0 3,135.0,45.0
Lana was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Lana have total ?,* number0 + number1 number2,32.0,4.0 2.0 6.0
"For a birthday party George bought number0 regular sodas and number1 diet sodas . If his fridge would only hold number2 on each shelf , how many shelves would he fill up ?",/ + number0 number1 number2,8.0,10.0 22.0 4.0
Joan went to number0 football games this year . She went to number1 football games last year . How many football games did Joan go to in all ?,+ number0 number1,13.0,4.0 9.0
Carol was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,- + number0 number1 number2,7.0,17.0 6.0 16.0
"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",/ + number1 number2 number0,2.0,8.0 9.0 7.0
"Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",/ - number0 number1 number2,4.0,19.0 11.0 2.0
Jason found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Tim . How many seashells does Jason now have ?,- number0 number2,36,49.0 48.0 13.0
"If Harold split number0 apples between number1 people in her class and kept the left overs , how many apples did each classmate get ?",/ number0 number1,5.0,15.0 3.0
Alyssa picked number0 pears and Nancy picked number1 pears from the pear tree . How many pears were picked in all ?,+ number0 number1,59,42.0 17.0
"I read number0 pages of my English book yesterday . Today , I read number1 pages . What is the total number of pages did I read ?",+ number0 number1,38.0,21.0 17.0
Keith grew number0 turnips . Alyssa grew number1 turnips . How many turnips did they grow in all ?,+ number0 number1,15.0,6.0 9.0
Fred grew number0 cantelopes . Tim grew number1 cantelopes . How many cantelopes did they grow in total ?,+ number0 number1,82,38.0 44.0
"Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",- + number0 number2 number1,31.0,12.0 2.0 21.0
Jason has number0 Pokemon cards . Benny bought number1 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,- number0 number1,1.0,3.0 2.0
"Albert ’s cabbage patch has number0 rows of cabbage . In each row , there are number1 heads of cabbage . How many heads of cabbage does Albert have in all ?",* number0 number1,180.0,12.0 15.0
"There is number0 of a cup of oil in Scarlett 's measuring cup . If Scarlett adds number1 of a cup more , how much oil will be in the measuring cup ?",+ number0 number1,0.8333333333333334,0.16666666666666666 0.6666666666666666
Roger had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game . How much money does he have now ?,- + number0 number1 number2,15.0,29.0 20.0 34.0
"Bianca and her mom were picking carrots from their garden . Bianca picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,25.0,26.0 15.0 16.0
"At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Kaleb spend riding the ferris wheel ?",* number2 - number0 number1,27.0,6.0 3.0 9.0
"At the fair Adam bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Adam spend riding the ferris wheel ?",* number2 - number0 number1,81.0,13.0 4.0 9.0
Cheryl starts with number0 Skittles . Kathryn gives Cheryl number1 more . How many Skittles does Cheryl end with ?,+ number0 number1,97.0,8.0 89.0
"For the school bake sale Robin made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",- + number0 number2 number1,59.0,42.0 22.0 39.0
"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",* number2 - number0 number1,32.0,9.0 5.0 8.0
"Jane ’s dad brought home number0 marble potatoes . If Jane ’s mom made potato salad for lunch and served an equal amount of potatoes to Jane , herself and her husband , how many potatoes did each of them have ?",/ number0 3,8.0,24.0
A restaurant made number0 hamburgers and number1 hot dogs to serve during lunch . Only number2 hamburgers were actually served . How many hamburgers were over ?,- number0 number2,6,9.0 4.0 3.0
Mark sprinted number0 miles at number1 miles per hour . How long did Mark sprint ?,/ number0 number1,4.0,24.0 6.0
A restaurant served number0 pizzas during lunch and number1 during dinner today . How many pizzas were served today ?,+ number0 number1,15.0,9.0 6.0
Sara had number0 quarters in her bank . Her dad gave her number1 more quarters . How many quarters does she have now ?,+ number0 number1,70.0,21.0 49.0
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Olivia sold all but number2 bars , how much money would she have made ?",* number0 - number1 number2,9.0,3.0 7.0 4.0
"There are number0 books in Oak Grove 's public library . In addition , there are number1 books in its school libraries . How many books do the libraries in Oak Grove have overall ?",+ number0 number1,7092.0,1986.0 5106.0
There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow . It took number3 workers to finish the work . How many dogwood trees will the park have when the workers are finished ?,+ + number0 number1 number2,16,7.0 5.0 4.0 8.0
"If Charles strolled number0 miles at number1 miles per hour , how long was Charles travelling ?",/ number0 number1,2.0,6.0 3.0
"Paige 's team won their dodgeball game and scored number0 points total . If Paige scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",/ - number0 number1 number2,5.0,41.0 11.0 6.0
Marie can bike at a speed of number0 miles an hour . How far can she bike in number1 hours ?,* number0 number1,372.0,12.0 31.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number2 number1,43.0,4.0 3.0 42.0
"At the beach , Miki and her sister both built sandcastles and then measured their heights . Miki 's sandcastle was number0 of a foot tall and her sister 's was number1 of a foot tall . How much taller was Miki 's sandcastle than her sister 's ?",- number0 number1,0.3333333333333333,0.8333333333333334 0.5
"Dalton wants to buy a jump rope that costs $ number0 , a board game that costs $ number1 , and a playground ball that costs $ number2 . He has saved $ number3 from his allowance , and his uncle gave him $ number4 . How much more money does Dalton need to buy the jump rope , the game , and the ball ?",- + + number0 number1 number2 + number3 number4,4.0,7.0 12.0 4.0 6.0 13.0
Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells . How many seashells does he now have ?,- number0 number1,3.0,5.0 2.0
Theresa has number0 crayons . Janice has number1 crayons . She shares number2 with Nancy . How many crayons will Theresa have ?,- number0 number2,19.0,32.0 12.0 13.0
"Isabel had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",/ - number0 number1 number2,8.0,72.0 32.0 5.0
"There are number0 stickers on a page . If you have number1 pages of stickers , how many stickers do you have ?",* number0 number1,220.0,10.0 22.0
There are number0 pencils and number1 crayons in the drawer . Dan took number2 pencils from the drawer . How many pencils are now in the drawer ?,- number0 number2,12,34.0 49.0 22.0
"While on vacation , Gwen took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",- + number0 number1 number2,55.0,41.0 29.0 15.0
"A renovation project required number0 truck - load of sand , number1 truck - load of dirt , and number2 truck - load of cement . How many truck - loads of material were needed in all ?",+ + number0 number1 number2,0.6666666666666666,0.16666666666666666 0.3333333333333333 0.16666666666666666
There are number0 books on the shelf . Marta put number1 more books on the shelf . How many books are on the shelf now ?,+ number0 number1,48.0,38.0 10.0
"Mike invited number0 friends to a birthday party , but number1 could n't come . If he wanted to buy enough cupcakes so each person could have exactly number2 , how many should he buy ?",* number2 - number0 number1,24.0,13.0 7.0 4.0
"April 's discount flowers was having a sale where each flower was number0 dollars . If Robin bought number1 roses and number2 daisies , how much did she spend ?",* number0 + number1 number2,27.0,3.0 5.0 4.0
"Tiffany had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?",* number2 + number0 number1,30.0,6.0 4.0 3.0
"Jenny sold number0 boxes of Trefoils . How many cases of number1 boxes , plus extra boxes does Jenny need to deliver ?",/ number0 number1,3.0,24.0 8.0
Tina has number0 bananas . She gets number1 more from Joyce . How many bananas does Tina have in all ?,+ number0 number1,85.0,82.0 3.0
Maria needs number0 cartons of berries to make a berry cobbler . She already has number1 cartons of strawberries and number2 cartons of blueberries . How many more cartons of berries should Maria buy ?,- number0 + number1 number2,9.0,21.0 4.0 8.0
"In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them , how many points would you earn ?",* number0 - number1 number2,72.0,9.0 11.0 3.0
Lisa rented number0 DVDs for $ number1 . How much did each DVD cost to rent ?,/ number1 number0,1.2,4.0 4.8
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* number2 - number0 number1,45.0,11.0 6.0 9.0
Tim has number0 books . Mike has number1 books . How many books do they have together ?,+ number0 number1,42.0,22.0 20.0
Johnny practiced for the track team and ran number0 laps per minute . How many minutes did it take Johnny to run number1 laps ?,/ number1 number0,3.33333,3.0 10.0
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?",+ number0 number1,971639.0,712261.0 259378.0
Denise removes number0 bananas from a jar . There were originally number1 bananas in the jar . How many bananas are left in the jar ?,- number1 number0,41.0,5.0 46.0
Sally has number0 orange balloons and number1 blue balloons . She lost number2 of the orange balloons . How many orange balloons does Sally have now ?,- number0 number2,7,9.0 4.0 2.0
Melanie had number0 quarters and number1 pennies in her bank . Her dad gave her number2 pennies and her mother gave her number3 pennies . How many pennies does Melanie have now ?,+ + number1 number2 number3,63,10.0 17.0 27.0 19.0
Tim found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Sara . How many seashells does Tim now have ?,- number0 number2,507,679.0 110.0 172.0
Marie starts with number0 erasers . She loses number1 . How many erasers does Marie end with ?,- number0 number1,53.0,95.0 42.0
There are number0 eggs in each box . How many eggs are in number1 boxes ?,* number0 number1,6.0,3.0 2.0
"When Joan was visited by the toothfairy , she received number0 each of quarters , half - dollars , and dimes . How much money did the toothfairy leave Joan ?",* number0 + + 0.25 0.5 0.1,11.9,14.0
"Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",/ + number1 number2 number0,2.0,4.0 2.0 6.0
"Mrs. Hilt baked pies last weekend for a holiday dinner . She baked number0 pecan pies and number1 apples pies . If she wants to arrange all of the pies in rows of number2 pies each , how many rows will she have ?",/ + number0 number1 number2,6.0,16.0 14.0 5.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* number2 - number0 number1,12.0,9.0 3.0 2.0
"Vanessa and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Vanessa recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",/ + number1 number2 number0,4.0,9.0 20.0 16.0
"While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",* number0 + number0 number1,24.0,3.0 5.0 3.0
"Joan had number0 Pokemon cards , and number1 were torn . Sara bought number2 of Joan 's Pokemon cards . How many Pokemon cards does Joan have now ?",- number0 number2,562,695.0 6.0 133.0
number0 beavers were working on their home . number1 went for a swim . How many beavers are still working on their home ?,- number0 number1,1.0,2.0 1.0
"Wendy uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",/ + number0 number1 number2,6.0,22.0 2.0 4.0
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",* number0 + number0 number2,40.0,5.0 5.0 3.0
Sam has number0 books . Joan has number1 books . How many books do they have together ?,+ number0 number1,212,110.0 102.0
"Keith loves trading cards . She bought number0 packs of Digimon cards for $ number1 each , and a deck of baseball cards for $ number2 . How much did Keith spend on cards ?",+ * number0 number1 number2,23.86,4.0 4.45 6.06
Mrs. Hilt read number0 books . Each book had number1 chapters in it . How many chapters did Mrs. Hilt read ?,* number0 number1,68.0,4.0 17.0
Sally saw number0 dozen birds in a tree . How many birds did Sally see ?,* number0 12,12.0,1.0
"Will made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",/ - number0 number1 number2,7.0,104.0 41.0 9.0
Mary picked number0 oranges and Jason picked number1 oranges . Keith picked number2 apples . How many oranges were picked in all ?,+ number0 number1,55,14.0 41.0 38.0
"Mike is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Mike with the rest . If he can fit number2 books on a shelf , how many shelves will he need ?",/ - number0 number1 number2,8.0,82.0 10.0 9.0
Jason had number0 quarters in his bank . His dad gave him number1 more quarters . How many quarters does he have now ?,+ number0 number1,74.0,49.0 25.0
Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes . How many are left ?,* number0 number1,12.0,3.0 4.0 5.0
Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Zoe have total ?,* number0 + number1 number2,80.0,8.0 4.0 6.0
Betty bought number0 pink flower stones and wanted to make number1 bracelets out of these stones . How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?,/ number0 number1,11.0,88.0 8.0
"Joyce has number0 eggs . Marie gives Joyce number1 more . Later , Joyce buys number2 erasers at the store . How many eggs does Joyce have in all ?",+ number0 number1,14.0,8.0 6.0 13.0
Beka flew number0 miles to visit her aunt . Jackson flew number1 miles to visit his aunt . How many more miles did Beka fly than Jackson ?,- number0 number1,310.0,873.0 563.0
"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes . How many cantelopes did they grow in total ?",+ + number0 number1 number2,65.0,29.0 16.0 20.0
Dale 's Vegetarian Restaurant bought number0 pounds of green peppers and number1 pounds of red peppers . How many pounds of peppers did Dale 's Vegetarian Restaurant buy in all ?,+ number0 number1,5.666666666666667,2.8333333333333335 2.8333333333333335
"Roger had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",/ - number0 number1 number2,3.0,68.0 47.0 7.0
"There were number0 students riding on the school bus . At the first stop , number1 students got off of the bus . How many students are left on the bus ?",- number0 number1,7.0,10.0 3.0
"Gwen had number0 math problems and number1 science problems for homework . If she finished number2 of the problems at school , how many problems did she have to do for homework ?",- + number0 number1 number2,5.0,18.0 11.0 24.0
We ordered number0 pizzas . Each pizza has number1 slices . How many slices of pizza are there altogether ?,* number0 number1,168.0,21.0 8.0
"If Teresa jogged number0 kilometers at number1 kilometers per hour , how long was Teresa jogging ?",/ number0 number1,5.0,25.0 5.0
Jose strolled to Jane 's house . It is number0 miles from Jose 's house to Jane 's house . It took Jose number1 hours to get there . How fast did Jose go ?,/ number0 number1,2.0,24.0 12.0
Ronald has number0 blocks . Martha has with number1 blocks . Martha finds another number2 . How many blocks does Martha end with ?,+ number1 number2,84.0,13.0 4.0 80.0
"Joan picked number0 apples from the orchard , and gave number1 apples to Melanie . How many apples does Joan have now ?",- number0 number1,16.0,43.0 27.0
"Dan has number0 violet marbles , he gave Mary number1 of the marbles . How many violet marbles does he now have ?",- number0 number1,50,64.0 14.0
Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree . How many lemons were picked in total ?,+ number0 number1,16,7.0 9.0
"Emily had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?",- + number0 number2 number1,19.0,7.0 2.0 14.0
"A bee colony produced number0 pounds of honey , but bears ate number1 pounds of it . How much honey remains ?",- number0 number1,0.31,0.36 0.05
William has number0 bottle caps . He buys number1 more . How many bottle caps does William have in all ?,+ number0 number1,43.0,2.0 41.0
"In one week , Mitch 's family drank number0 of a carton of regular milk and number1 of a carton of soy milk . How much milk did they drink in all ?",+ number0 number1,0.6,0.5 0.1
Robin had number0 pieces of gum . Her brother gave her some more pieces . Now Robin has number1 pieces in all . How many pieces of gum did Robin 's brother give her ?,- number1 number0,26.0,18.0 44.0
"Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked number0 of a mile from the car to a stream , and number1 of a mile from the stream to a meadow . Then they hiked number2 of a mile from the meadow to the campsite . How many miles did Irwin 's family hike in all ?",+ + number0 number1 number2,0.7,0.2 0.4 0.1
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",- + number0 number2 number1,20.0,6.0 4.0 18.0
Fred has number0 cents in his bank . How many dimes does Fred have ?,/ number0 10,9.0,90.0
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number2,7.0,12.0 44.0 8.0
"For Halloween Katie and her sister combined the candy they received . Katie had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?",- + number0 number1 number0,23.0,8.0 23.0 8.0
"Sandy went to the mall to buy clothes . She spent $ number0 on shorts , $ number1 on a shirt , and $ number2 on a jacket . How much money did Sandy spend on clothes ?",+ + number0 number1 number2,33.56,13.99 12.14 7.43
A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,- + number0 number2 number1,36.0,40.0 25.0 21.0
For the school bake sale Amy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,- + number0 number1 number2,51.0,15.0 48.0 12.0
Fred has number0 baseball cards . Melanie bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,- number0 number1,2.0,5.0 3.0
"If Benjamin skated number0 kilometers at number1 kilometers per hour , how long was Benjamin skating ?",/ number0 number1,8.0,80.0 10.0
"Tom bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Tom still have ?",* number2 - number0 number1,18.0,14.0 8.0 3.0
