Question,Equation,Answer,Numbers
Mary has number0 yellow marbles Joan has number1 yellow marbles . How many yellow marbles do they have in all ?,+ number0 number1,12.0,9.0 3.0
"Joan joined her school 's band . She bought a trumpet for $ number0 , a music tool for $ number1 , and a song book which was $ number2 . Joan found $ number3 in her pocket . How much did Joan spend at the music store ?",+ + number0 number1 number2,163.28,149.16 9.98 4.14 8.65
"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",/ - number0 number1 number2,9.0,101.0 47.0 6.0
Wendy ran number0 miles and walked number1 miles . How much farther did Wendy run than walk ?,- number0 number1,10.666666666666666,19.833333333333332 9.166666666666666
"Mary , Sam , Keith , and Alyssa each have number0 baseball cards . How many baseball cards do they have in all ?",* number0 4.0,24.0,6.0
megan had number0 bottles of water . if she drank number1 of them how many bottles would megan have left ?,- number0 number1,14.0,17.0 3.0
"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line , how many people would be in line ?",- + number0 number2 number1,17.0,12.0 10.0 15.0
Sally grew number0 carrots . Fred grew number1 carrots . How many carrots did they grow in all ?,+ number0 number1,10.0,6.0 4.0
"Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",/ + number1 number2 number0,3.0,8.0 22.0 2.0
"For Halloween Sarah received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day , how long would the candy last her ?",/ + number0 number1 number2,9.0,66.0 15.0 9.0
brad has number0 balloons . number1 balloons are red and the rest are green . how many green balloons does brad have ?,- number0 number1,9.0,17.0 8.0
"Grace has number0 jellybeans in her pocket . She has number1 red ones , number2 green ones , and number3 blue ones . What is the minimum number of jellybeans she must take out of her pocket to ensure that she has one of each color ?",+ + number1 number2 1.0,13.0,16.0 8.0 4.0 4.0
Sally had number0 cards . Dan gave her number1 new cards . Sally bought number2 cards . How many cards does Sally have now ?,+ + number0 number1 number2,88.0,27.0 41.0 20.0
"For a birthday party George bought number0 regular sodas and number1 diet sodas . If his fridge would only hold number2 on each shelf , how many shelves would he fill up ?",/ + number0 number1 number2,8.0,10.0 22.0 4.0
"Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons . How many blue balloons do they have in all ?",+ + number0 number1 number2,104.0,37.0 28.0 39.0
Albert has two snakes . The garden snake is number0 inches long . The boa constrictor is number1 times longer than the garden snake . How long is the boa constrictor ?,* number0 number1,70.0,10.0 7.0
number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus . how many children got on the bus at the bus stop ?,- number1 number0,7.0,18.0 25.0
"A waitress put leftover tarts into the fridge on Thursday night . She noticed that the restaurant had number0 tart filled with cherries , number1 tart filled with blueberries , and number2 tart filled with peaches . How many leftover tarts did the restaurant have in all ?",+ + number0 number2 number1,0.9166666666666666,0.08333333333333333 0.75 0.08333333333333333
mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case . how much money does she have left ?,- number0 + number1 number2,5.0,10.0 3.0 2.0
emily was selling some of her old toys at a garage sale . she started out with number0 toys and sold number1 of them . how many does she have left ?,- number0 number1,4.0,7.0 3.0
if number0 cartridge costs number1 dollars how many ink cartridges can you buy with number2 dollars ?,/ number2 number1,12.0,1.0 15.0 180.0
Evelyn starts with number0 bottle caps . She finds another number1 . How many bottle caps does Evelyn end with ?,+ number0 number1,81.0,18.0 63.0
luke was helping his mom wash clothes . they washed number0 loads with number1 towels in each load . how many towels did they wash total ?,* number0 number1,42.0,6.0 7.0
the roller coaster at the state fair costs number0 tickets per ride . if you had number1 tickets how many times could you ride it ?,/ number1 number0,2.0,5.0 10.0
Anne weighs number0 pounds . Douglas weighs number1 pounds . How much heavier is Anne than Douglas ?,- number0 number1,15.0,67.0 52.0
"If Heather bicycled number0 kilometers at number1 kilometers per hour , how long was Heather bicycling ?",/ number0 number1,5.0,40.0 8.0
"It rained number0 inches on Monday . On Tuesday , it rained number1 inches less than on Monday . How much did it rain on Tuesday ?",- number0 number1,0.2,0.9 0.7
he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day . how many sacks of oranges will they have after number1 days of harvest ?,* number0 number1,498.0,83.0 6.0
Joan has number0 blue balloons Melanie has number1 blue balloons . How many blue balloons do they have in total ?,+ number0 number1,81,40.0 41.0
at a farming supply store number0 pounds of seed cost $ number1 . if a farmer needed number2 pounds of seeds how much would it cost him ?,* / number1 number0 number2,134.04,2.0 44.68 6.0
"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers , how many customers would he have ?",- + number0 number2 number1,41.0,19.0 14.0 36.0
the ring toss game at the carnival made number0 dollars in number1 days . if they made the same amount of money each day how much did they make per day ?,/ number0 number1,140.0,420.0 3.0
"Mrs. Heine is buying Valentine ’ s Day treats for her number0 dogs . If she wants to buy them number1 heart biscuits each , how many biscuits does she need to buy ?",* number0 number1,6.0,2.0 3.0
trevor counted number0 coins in his bank . he counted number1 quarters . the rest are dimes . how many more coints of the total than quarts does trevor have ?,- number0 number1,48.0,77.0 29.0
"Bobby ate number0 pieces of candy . Then , he ate number1 more . How many pieces of candy did Bobby eat ?",+ number0 number1,43.0,26.0 17.0
a store had number0 oranges in a bin . if they threw away number1 of the old number2 and put number3 new number4 in the bin how many would be in the bin ?,+ - number0 number1 number3,36.0,40.0 25.0 1.0 21.0 1.0
at a restaurant each adult meal costs $ number0 and kids eat free . if a group of number1 people came in and number2 were kids how much would it cost for the group to eat ?,* - number1 number2 number0,72.0,8.0 11.0 2.0
Gordon bought number0 pounds of fruit for a class party . The class ate number1 pounds of the fruit . How much fruit is ?,- number0 number1,1.22,3.42 2.2
Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums . How many pictures were in each album ?,/ - number0 number1 number2,5.0,51.0 11.0 8.0
"On Friday , number0 people visited the zoo . number1 times as many people visited on Saturday than on Friday . How many people visited the zoo on Saturday ?",* number0 number1,3750.0,1250.0 3.0
there are number0 books on the shelf . marta put number1 more books on the shelf . how many books are on the shelf now ?,+ number0 number1,48.0,38.0 10.0
Norma starts with number0 bananas . She loses number1 . How many bananas does Norma end with ?,- number0 number1,2.0,47.0 45.0
Ronald went to the store number0 times last month . He buys number1 bananas each time he goes to the store . How many bananas did Ronald buy last month ?,* number0 number1,20.0,2.0 10.0
"Carol and her mom were picking carrots from their garden . Carol picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,7.0,29.0 16.0 38.0
A restaurant made number0 hamburgers and number1 hot dogs to serve during lunch . Only number2 hamburgers were actually served . How many hamburgers were over ?,- number0 number2,6,9.0 4.0 3.0
before his friends gave him more stamps simon initially had number0 stamps . if he now has number1 stamps how many stamps did he receive from his friends ?,- number1 number0,27.0,34.0 61.0
"Bianca earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them , how many points would she have earned ?",* - number1 number2 number0,45.0,5.0 17.0 8.0
"My car gets number0 miles per gallon of gas . If Grandma ’ s house is number1 miles away , how many gallons of gas would it take to get to her house ?",/ number1 number0,5.0,20.0 100.0
How many cookies would you have if you had number0 bags of cookies with number1 cookies in each bag ?,* number0 number1,703.0,37.0 19.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* - number0 number1 number2,20.0,7.0 2.0 4.0
oliver bought number0 boxes of candy . later he bought number1 more boxes . how many boxes did he have totaled ?,+ number0 number1,14.0,8.0 6.0
"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",* + number1 number2 number0,36.0,9.0 2.0 2.0
Sam found number0 seashells and Mary found number1 seashells on the beach . How many seashells did they find together ?,+ number0 number1,65.0,18.0 47.0
Kelly has number0 Nintendo games . How many does Kelly need to give away so that Kelly will have number1 games left ?,- number0 number1,99.0,121.0 22.0
"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* + number1 number2 number0,72.0,9.0 3.0 5.0
There are number0 butterflies . Each butterfly has number1 black dots and number2 yellow dots . How many black dots are there in all ?,* number0 number1,4764.0,397.0 12.0 17.0
j.t . has some superhero trading cards . he lost number0 of them . he gave number1 of them to his best friend . now he has number2 cards left . how many cards did j.t . have at first ?,+ + number0 number2 number1,78.0,14.0 19.0 45.0
henry already had number0 dollars but earned another number1 dollars doing chores . his friend had number2 dollars . if they put their money together how much would they have ?,+ + number0 number1 number2,20.0,5.0 2.0 13.0
There are number0 rulers in the drawer . Tim took number1 rulers from the drawer . How many rulers are now in the drawer ?,- number0 number1,21,46.0 25.0
the town of milburg has number0 grown-ups and number1 children . how many people live in milburg ?,+ number0 number1,8243.0,5256.0 2987.0
"There were number0 pieces of candy in a jar . If number1 pieces were red and the rest were blue , how many were blue ?",- number0 number1,3264.0,3409.0 145.0
for halloween isabel received number0 pieces of candy from neighbors and number1 pieces from her older sister . if she only ate number2 pieces a day how long would the candy last her ?,/ + number0 number1 number2,7.0,16.0 5.0 3.0
Jacqueline has number0 boxes of erasers . Each box holds number1 erasers and there are number2 boxes in a case . How many erasers does Jacqueline have ?,* number0 number1,40.0,4.0 10.0 9.0
How much would number0 pieces of bubble gum cost if each piece costs number1 cents ?,* number0 number1,2448.0,136.0 18.0
A restaurant served number0 pizzas during lunch and number1 during dinner today . How many pizzas were served today ?,+ number0 number1,15,9.0 6.0
"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",* + number0 number1 number0,80.0,8.0 2.0 8.0
A restaurant served number0 pizzas during lunch and number1 during dinner today . How many pizzas were served today ?,+ number0 number1,15.0,9.0 6.0
there are number0 birds and number1 nests . what 's the difference of the number of birds and nests over there ?,- number0 number1,3.0,6.0 3.0
tom read number0 books in may number1 in june and number2 in july . how many books did tom read ?,+ + number0 number1 number2,18.0,2.0 6.0 10.0
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes how many fishes does he have in total ?,* number0 number1,1050.0,6.0 175.0
Benny goes out to lunch with Sara and Tom . Each person orders the $ number0 lunch special . Benny agrees to pay the bill . How much will he have to pay ?,* number0 3.0,24.0,8.0
Jenny ran number0 mile and walked number1 mile . How much farther did Jenny run than walk ?,- number0 number1,0.2,0.6 0.4
We ordered number0 pizzas . Each pizza has number1 slices . How many slices of pizza are there altogether ?,* number0 number1,168.0,21.0 8.0
Tori was number0 feet tall . Then she grew number1 feet taller . How tall is Tori now ?,+ number0 number1,7.26,4.4 2.86
Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many . How many bees did she see on the second day ?,* number0 number1,432.0,144.0 3.0
victor had number0 apps on his phone . he deleted number1 of them . how many apps does victor have left ?,- number0 number1,11.0,19.0 8.0
mike made number0 dollars mowing lawns over the summer . if he spent number1 dollars buying new mower blades how many number2 dollar games could he buy with the money he had left ?,/ - number0 number1 number2,9.0,90.0 45.0 5.0
Frank worked number0 hours on the first number1 days of the week . How many hours did he work in all ?,* number0 number1,32.0,8.0 4.0
"Mike invited number0 friends to a birthday party , but number1 could n't come . If he wanted to buy enough cupcakes so each person could have exactly number2 , how many should he buy ?",* - number0 number1 number2,24.0,13.0 7.0 4.0
Sam had number0 dimes in his bank . His dad gave him number1 more dimes . How many dimes does Sam have now ?,+ number0 number1,16.0,9.0 7.0
rebecca wants to split a collection of eggs into groups of number0 rebecca has number1 eggs and number2 marbles . how many groups will be created ?,/ number1 number0,8.0,2.0 16.0 3.0
"Joyce has number0 bananas that must be put away in boxes . Fred comes to help and brings number1 cookies to share with Joyce . If there are number2 boxes , how many bananas must go in each box ?",/ number0 number2,4.0,40.0 18.0 10.0
an architect built a house with number0 bedrooms total . if the second floor had number1 bedrooms . how many bedrooms does the first floor have ?,- number0 number1,8.0,10.0 2.0
Patrick jogged to Aaron 's house . It is number0 miles from Patrick 's house to Aaron 's house . It took Patrick number1 hours to get there . How fast did Patrick go ?,/ number0 number1,7.0,14.0 2.0
"At Lindsey 's Vacation Wear , number0 the garments are bikinis and number1 are trunks . What fraction of the garments are either bikinis or trunks ?",+ number0 number1,0.625,0.375 0.25
it 's spring break at rosewood high so rachel and her family decided to take a trip across europe . since rachel has always been fascinated by the french people they began their tour with a visit to france . during their stay there rachel went to the famous eiffel tower . if she climbed number0 flights of stairs going up and number1 going down what is the total number of steps that she took ?,+ number0 number1,892.0,567.0 325.0
Suzie found number0 worms in the yard and measured them with a ruler . number1 worm was number2 inch long . The other worm was number3 inch long . How much longer was the longer worm ?,- number2 number3,0.7,2.0 1.0 0.8 0.1
lena had some pocket money . she lost $ number0 and her mom gave her $ number1 . if she had $ number2 after that how many dollars did lena have at first ?,+ - number2 number1 number0,61.0,4.0 9.0 66.0
If Anne wandered for number0 hours at number1 miles per hour . How far did Anne go ?,* number0 number1,6.0,3.0 2.0
feeling sad about their loss on their first game chuck and his teammates were determined to win on their next match against the yellow team . they scored number0 points and the yellow team scored number1 how large was their lead ?,- number0 number1,17.0,72.0 55.0
"Mrs. Hilt baked pies last weekend for a holiday dinner . She baked number0 pecan pies and number1 apples pies . If she wants to arrange all of the pies in rows of number2 pies each , how many rows will she have ?",/ + number0 number1 number2,6.0,16.0 14.0 5.0
"A waiter at ' The Greasy Spoon ' restaurant had number0 customers to wait on . During the lunch rush he added another number1 customers . If number2 of the customers did n't leave him a tip , how many customers did leave a tip ?",- + number0 number1 number1,26.0,26.0 27.0 27.0
shannon brenda 's neighbor joined brenda in making bracelets . she brought number0 heart-shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes . how many bracelets with heart-shaped stones can shannon make ?,/ number0 number1,6.0,48.0 8.0
bryan has number0 skittles . ben has number1 m & m 's . how many more does brian have ?,- number0 number1,30.0,50.0 20.0
Victor and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Victor bought number1 decks and his friend bought number2 decks ?,* + number1 number2 number0,64.0,8.0 6.0 2.0
"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives , how many lives did they have total ?",* - number0 number1 number2,24.0,10.0 7.0 8.0
mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how many valentines did mrs. franklin give to her students ?,- number0 number1,42.0,58.0 16.0
There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today . How many walnut trees will the park have when the workers are finished ?,+ number0 number1,211,107.0 104.0
there are a total of number0 items at a bakery . number1 of them are bread rolls and number2 of them are croissants . how many bagels are there ?,- - number0 number1 number2,22.0,90.0 49.0 19.0
"If Joan bicycled number0 miles at number1 miles per hour , how long was Joan travelling ?",/ number0 number1,5.0,25.0 5.0
nick saved $ number0 . if nick saved $ number1 more than lee how much did lee save ?,- number0 number1,43.07,68.5 25.43
Each of farmer Cunningham 's number0 lambs is either black or white . There are number1 white ones . How many of Farmer Cunningham 's lambs are black ?,- number0 number1,5855.0,6048.0 193.0
mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages . how many pages did she have left to read ?,- number0 number1,6.0,17.0 11.0
"Mike picked number0 apples , Nancy picked number1 apples , and Keith picked number2 apples and number3 pears , at the farm . How many apples were picked in total ?",+ + number0 number1 number2,16,7.0 3.0 6.0 4.0
"Luke was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?",/ + number0 number2 number0,4.0,3.0 3.0 9.0
For Halloween Haley scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces . How many pieces of candy does Haley have now ?,- + number0 number2 number1,35.0,33.0 17.0 19.0
For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,/ - number0 number1 number2,6.0,78.0 30.0 8.0
while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5 how many nails will they have ?,+ + number0 number5 number3,95.0,9.0 2.0 1.0 55.0 1.0 31.0
"Edward made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",/ - number0 number1 number2,8.0,37.0 21.0 2.0
lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells . how many more did she find ?,- number1 number0,21.0,68.0 89.0
a pet store was selling mice number0 for $ number1 . if they ended up selling number2 mice how much money would they have earned ?,* / number1 number0 number2,18.69,2.0 5.34 7.0
oliver was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds . what 's the difference between the weight of the first box and the third box ?,- number2 number0,11.0,2.0 3.0 13.0
a clown had number0 balloons . after a party he had number1 left . how many balloons did he use at the party ?,- number0 number1,66.0,82.0 16.0
"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",- number1 number0,3731.0,2475.0 6206.0
"Isabel was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",* + number0 number1 number2,36.0,3.0 3.0 6.0
catherine has number0 bottle caps and number1 blocks . if she shares the bottle caps among number2 friends how many bottle caps does each friend get ?,/ number0 number2,3.0,18.0 19.0 6.0
Each cup contains number0 ounces . How many ounces are in number1 cups ?,* number0 number1,264.0,8.0 33.0
martha bought number0 small cakes . she has number1 children . she would like to divide the cakes among her children so that each child gets the same amount . how many cakes would each child get ?,/ number0 number1,6.0,18.0 3.0
Jonah added number0 cup of yellow raisins and number1 cup of black raisins to a batch of trail mix . How many cups of raisins did Jonah add in all ?,+ number0 number1,0.7,0.3 0.4
henry had $ number0 . later he sold some of his old toys and got another $ number1 . how much money does he have total ?,+ number0 number1,56.0,54.0 2.0
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,/ - number0 number1 number2,3.0,13.0 7.0 2.0
number0 people are going to the zoo . There are number1 cars to take people to the zoo . How many will go in each car if the same number go in each car ?,/ number0 number1,21.0,63.0 3.0
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",/ - number0 number1 number2,5.0,47.0 27.0 4.0
"Nancy was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* + number0 number1 number0,48.0,6.0 2.0 6.0
her last stop was the post office . there she sent her rock collection to the geological museum in london . she was left with her number0 favorite stones after sending away a part of her collection . if she originally has number1 stones in her collection how many did she send away ?,- number1 number0,63.0,15.0 78.0
"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",+ number0 number1,121.0,36.0 85.0
billy can play number0 songs in his music book . he knows the names of number1 different guitar chords . billy 's music book has number2 songs in it . how many songs does billy still need to learn ?,- number2 number0,28.0,24.0 18.0 52.0
Adam has $ number0 to buy an airplane that costs $ number1 . How much change will Adam get ?,- number0 number1,0.72,5.0 4.28
she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block how many candies will she receive from each block ?,* number0 number1,35.0,7.0 5.0
"Oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,66.0,39.0 47.0 20.0
mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange how many of them were red ?,- number0 number1,13.0,33.0 20.0
the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint . how many ounces of paint would they buy in total ?,+ + number0 number1 number2,69.0,20.0 15.0 34.0
Chloe was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,- + number0 number1 number2,86.0,40.0 50.0 4.0
if you add number0 to a mystery number you will get number1 what is the mystery number ?,- number1 number0,47.0,45.0 92.0
"Chloe picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",- + number0 number2 number1,45.0,48.0 45.0 42.0
a delivery driver had to make number0 more stops on his route . at each stop he had to drop off number1 boxes . how many boxes does he have ?,* number0 number1,27.0,3.0 9.0
There are number0 oranges . number1 oranges more are added . How many are there total ?,+ number0 number1,16.0,8.0 8.0
"Dave had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each , how much money could he earn ?",* - number0 number1 number2,32.0,10.0 2.0 4.0
A restaurant sold number0 hamburgers last week . How many hamburgers on average were sold each day ?,/ number0 7.0,7.0,49.0
john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set how long is the second set of wood ?,* number1 number2,20.0,2.0 4.0 5.0
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars , how much money would she have made ?",* - number1 number2 number0,18.0,2.0 13.0 4.0
at the arcade amy had number0 tickets she saved from the last time she went . this time she played a game number1 times and earned number2 tickets each time she played . how many tickets does she have now ?,+ * number1 number2 number0,41.0,6.0 7.0 5.0
"While shopping for music online , Faye bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs . How many songs did Faye buy total ?",* + number0 number1 number2,30.0,2.0 3.0 6.0
there were number0 people on the train . after the first stop there were number1 people left . how many people got off ?,- number0 number1,17.0,48.0 31.0
Carol collects number0 peanuts . Carol 's father gives Carol number1 more . How many peanuts does Carol have ?,+ number0 number1,7.0,2.0 5.0
a farmer had number0 seeds to plant . he planted the same number of seeds each day and it took him number1 days to plant them all . how many seeds did he plant per day ?,/ number0 number1,45.0,225.0 5.0
A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,/ - number0 number1 number2,2.0,48.0 38.0 5.0
"Ned bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Ned still have ?",* - number0 number1 number2,42.0,14.0 7.0 6.0
"A waiter at ' The Greasy Spoon ' restaurant had number0 customers to wait on . During the lunch rush he added another number1 customers . If number2 of the customers did n't leave him a tip , how many customers did leave a tip ?",- + number0 number1 number2,2.0,39.0 12.0 49.0
Joan picked number0 oranges and Sara picked number1 oranges . Alyssa picked number2 pears . How many oranges were picked in total ?,+ number0 number1,47,37.0 10.0 30.0
next on his list is the nursing home near his office . there he number0 boxes of vitamins and number1 boxes of supplements . how many boxes of medicine did the nursing home receive from mr. anderson ?,+ number0 number1,760.0,472.0 288.0
george had number0 pieces of candy . if he split the candy into number1 bags with the same amount of candy in each bag how many pieces would each bag have in it ?,/ number0 number1,81.0,648.0 8.0
Ruby has number0 apples . Emily takes number1 away . How many apples will Ruby have ?,- number0 number1,8.0,63.0 55.0
blithe has a lot of toys . he lost number0 of them and found number1 in his closet . if he had number2 after that how many toys did blithe have at first ?,+ - number2 number1 number0,40.0,6.0 9.0 43.0
"Maria picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",- + number0 number2 number1,52.0,48.0 11.0 15.0
jerry was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds . what is the combined weight of all number3 boxes ?,+ + number0 number1 number2,18.0,2.0 11.0 5.0 3.0
after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shells how many shells are not red or green ?,- number0 + number1 number2,166.0,291.0 76.0 49.0
a waiter had number0 customers . if number1 left how many customers would the waiter still have ?,- number0 number1,12.0,18.0 6.0
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,/ - number0 number1 number2,9.0,64.0 28.0 4.0
Andrew spent number0 day working on his Science report . He worked for number1 hours each day . How many hours did he work ?,* number0 number1,7.5,3.0 2.5
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number2,5.0,31.0 4.0 7.0
Gumballs come in packages of number0 . Nathan ate number1 gumballs . How many whole boxes did he eat and how many gumballs does he have left ?,/ number1 number0,4.0,5.0 20.0
zoe was unboxing some of her old winter clothes . she found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . how many pieces of winter clothing did zoe have total ?,* + number1 number2 number0,80.0,8.0 4.0 6.0
"Tiffany was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",- + number0 number2 number1,56.0,43.0 14.0 27.0
Edward starts with number0 eggs . He gives number1 to Phillip . How many eggs does Edward end with ?,- number0 number1,52.0,92.0 40.0
alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left . how many candles did alex have to start with ?,+ number0 number1,44.0,32.0 12.0
Jeremy strolled number0 kilometers at number1 kilometers per hour . How long did Jeremy stroll ?,/ number0 number1,10.0,20.0 2.0
a sandbox is number0 centimeters long and number1 centimeters wide . how many square centimeters of ground does the sandbox cover ?,* number0 number1,45552.0,312.0 146.0
"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left , how much money did he earn ?",* - number1 number2 number0,56.0,7.0 16.0 8.0
"Carrie 's mom gave her $ number0 to go shopping . She bought a sweater for $ number1 , a T - shirt for $ number2 , and a pair of shoes for $ number3 . How much money does Carrie have left ?",- number0 + + number1 number2 number3,50.0,91.0 24.0 6.0 11.0
"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row . How many chairs have been put out for the play ?",* number0 number1,432.0,27.0 16.0
"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?",/ number0 number1,3.0,36.0 12.0
"Oliver was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?",/ + number1 number2 number0,4.0,3.0 2.0 10.0
there are number0 trees in a park . number1 of them are huge ancient oaks and another number2 of them are medium-sized fir trees . the rest are saplings . how many saplings are in the park ?,- - number0 number1 number2,58.0,96.0 15.0 23.0
There are number0 pencils and number1 rulers in the drawer . Sally took number2 pencils out of the drawer . How many pencils are there now ?,- number0 number1,5,9.0 4.0 4.0
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number2,7.0,12.0 44.0 8.0
for bianca 's birthday number0 of her friends gave her number1 dollars . how much money did she get for her birthday ?,* number0 number1,30.0,5.0 6.0
willie the town baker wanted to make the biggest cake their town has ever seen . first he prepared the flour . he is planning to use number0 lbs . of flour . if he has number1 lbs . of flour stored in his bakery how much more flour does he need to buy ?,- number0 number1,207.0,501.0 294.0
"Allie counted the leftover ice cream after a sundae party . She had number0 carton of rocky road ice cream , number1 carton of cookie dough ice cream , and number2 carton of strawberry cheesecake ice cream . How many cartons of ice cream did Allie have in all ?",+ + number0 number1 number2,0.8333333333333334,0.3333333333333333 0.3333333333333333 0.16666666666666666
isabella 's hair is number0 cubes long . if her hair grows number1 more inches how long will it be ?,+ number0 number1,22.0,18.0 4.0
"Bianca picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though , how many extra flowers did Bianca pick ?",- + number0 number1 number2,7.0,39.0 49.0 81.0
"The value of a sport utility vehicle this year is number0 dollars , which is number1 of what its value was last year . Find the value of the vehicle last year .",/ number0 number1,20000.0,16000.0 0.8
